ANO_APLICACAO;CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;TP_VERSAO_DIGITAL;TP_APLICACAO;REF_ARQUIVO_PDF;DESC_ENUNCIADO;DESC_ALTER_A;DESC_ALTER_B;DESC_ALTER_C;DESC_ALTER_D;DESC_ALTER_E;IN_ITEM_IMAGEM
2009;137;MT;60227;E;24;0;;2.4516;2.26159;0.07674;AMARELO;61;;;;REGULAR;ENEM_2009_PROVA_DIA_2_AMARELO_5.pdf;Suponha que o modelo exponencial y = 363e^{0,03 x}, em que x = 0 corresponde ao ano 2000, x = 1 corresponde ao ano 2001, e assim sucessivamente, e que y é a população em milhões de habitantes no ano x, seja usado para estimar essa população com 60 anos ou mais de idade nos países em desenvolvimento entre 2010 e 2050. Desse modo, considerando e^{0,3} = 1,35, estima-se que a população com 60 anos ou mais estará, em 2030, entre;490 e 510 milhões.;550 e 620 milhões.;780 e 800 milhões.;810 e 860 milhões.;870 e 910 milhões.;0
2009;154;MT;58784;D;15;0;;2.9312;1.44841;0.17344;AMARELO;61;;;;REGULAR;ENEM_2009_PROVA_DIA_2_AMARELO_5.pdf;A rampa de um hospital tem na sua parte mais elevada uma altura de 2,2 metros. Um paciente ao caminhar sobre a rampa percebe que se deslocou 3,2 metros e alcançou uma altura de 0,8 metro. A distância em metros que o paciente ainda deve caminhar para atingir o ponto mais alto da rampa é;1,16 metros.;3,0 metros.;5,4 metros.;5,6 metros.;7,04 metros.;0
2009;157;MT;60250;B;14;0;;2.69776;2.93505;0.15095;AMARELO;61;;;;REGULAR;ENEM_2009_PROVA_DIA_2_AMARELO_5.pdf;Uma empresa que fabrica esferas de aço, de 6 cm de raio, utiliza caixas de madeira, na forma de um cubo, para transportá-las. Sabendo que a capacidade da caixa é de 13.824 cm^{3}, então o número máximo de esferas que podem ser transportadas em uma caixa é igual a;4.;8.;16.;24.;32.;0
2009;162;MT;60254;A;16;0;;2.32988;2.23435;0.20364;AMARELO;61;;;;REGULAR;ENEM_2009_PROVA_DIA_2_AMARELO_5.pdf;Uma escola lançou uma campanha para seus alunos arrecadarem, durante 30 dias, alimentos não perecíveis para doar a uma comunidade carente da região. Vinte alunos aceitaram a tarefa e nos primeiros 10 dias trabalharam 3 horas diárias, arrecadando 12 kg de alimentos por dia. Animados com os resultados, 30 novos alunos somaram-se ao grupo, e passaram a trabalhar 4 horas por dia nos dias seguintes até o término da campanha. Admitindo-se que o ritmo de coleta tenha se mantido constante, a quantidade de alimentos arrecadados ao final do prazo estipulado seria de;920 kg.;800 kg.;720 kg.;600 kg.;570 kg.;0
2009;166;MT;60257;A;2;0;;1.98397;2.6823;0.19702;AMARELO;61;;;;REGULAR;ENEM_2009_PROVA_DIA_2_AMARELO_5.pdf;Doze times se inscreveram em um torneio de futebol amador. O jogo de abertura do torneio foi escolhido da seguinte forma: primeiro foram sorteados 4 times para compor o Grupo A. Em seguida, entre os times do Grupo A, foram sorteados 2 times para realizar o jogo de abertura do torneio, sendo que o primeiro deles jogaria em seu próprio campo, e o segundo seria o time visitante. A quantidade total de escolhas possíveis para o Grupo A e a quantidade total de escolhas dos times do jogo de abertura podem ser calculadas através de;uma combinação e um arranjo, respectivamente.;um arranjo e uma combinação, respectivamente.;um arranjo e uma permutação, respectivamente.;duas combinações.;dois arranjos.;0
2009;176;MT;60242;C;21;0;;2.83725;3.26771;0.21224;AMARELO;61;;;;REGULAR;ENEM_2009_PROVA_DIA_2_AMARELO_5.pdf;O Indicador do CadÚnico (ICadÚnico), que compõe o cálculo do Índice de Gestão Descentralizada do Programa Bolsa Família (IGD), é obtido por meio da média aritmética entre a taxa de cobertura qualificada de cadastros (TC) e a taxa de atualização de cadastros (TA), em que TC = $\frac{NV}{NF}$,TA = $\frac{NA}{NV}$, NV é o número de cadastros domiciliares válidos no perfil do CadÚnico, NF é o número de famílias estimadas como público alvo do CadÚnico e NA é o número de cadastros domiciliares atualizados no perfil do CadÚnico. Portaria n^\circ 148 de 27 de abril de 2006 (adaptado). Suponha que o IcadÚnico de um município específico é 0,6. Porém, dobrando NF o IcadÚnico cairá para 0,5. Se NA + NV = 3.600, então NF é igual a;10.000.;7.500.;5.000.;4.500.;3.000.;0
2009;178;MT;60238;C;9;0;;1.95278;2.71524;0.21173;AMARELO;61;;;;REGULAR;ENEM_2009_PROVA_DIA_2_AMARELO_5.pdf;Um artesão construiu peças de artesanato interceptando uma pirâmide de base quadrada com um plano. Após fazer um estudo das diferentes peças que poderia obter, ele concluiu que uma delas poderia ter uma das faces pentagonal. Qual dos argumentos a seguir justifica a conclusão do artesão?;Uma pirâmide de base quadrada tem 4 arestas laterais e a interseção de um plano com a pirâmide intercepta suas arestas laterais. Assim, esses pontos formam um polígono de 4 lados.;Uma pirâmide de base quadrada tem 4 faces triangulares e, quando um plano intercepta essa pirâmide, divide cada face em um triângulo e um trapézio. Logo, um dos polígonos tem 4 lados.;Uma pirâmide de base quadrada tem 5 faces e a interseção de uma face com um plano é um segmento de reta. Assim, se o plano interceptar todas as faces, o polígono obtido nessa interseção tem 5 lados.;O número de lados de qualquer polígono obtido como interseção de uma pirâmide com um plano é igual ao número de faces da pirâmide. Como a pirâmide tem 5 faces, o polígono tem 5 lados.;O número de lados de qualquer polígono obtido interceptando-se uma pirâmide por um plano é igual ao número de arestas laterais da pirâmide. Como a pirâmide tem 4 arestas laterais, o polígono tem 4 lados.;0
2009;180;MT;60234;B;13;0;;3.09626;2.8116;0.2272;AMARELO;61;;;;REGULAR;ENEM_2009_PROVA_DIA_2_AMARELO_5.pdf;"A cisterna é um recipiente utilizado para armazenar água da chuva. Os principais critérios a serem observados para captação e armazenagem de água da chuva são: a demanda diária de água na propriedade; o índice médio de precipitação (chuva), por região, em cada período do ano; o tempo necessário para armazenagem; e a área de telhado necessária ou disponível para captação. Para fazer o cálculo do volume de uma cisterna, deve-se acrescentar um adicional relativo ao coeficiente de evaporação. Na dificuldade em se estabelecer um coeficiente confiável, a Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA) sugere que sejam adicionados 10% ao volume calculado de água. Desse modo, o volume, em m^{3}, de uma cisterna é calculado por $V_{c}$ = $V_{d}$ \times $N_{dia}$, em que $V_{d}$ = volume de demanda da água diária (m^3), $N_{dia}$ = número de dias de armazenagem, e este resultado deve ser acrescido de 10%. Para melhorar a qualidade da água, recomenda-se que a captação seja feita somente nos telhados das edificações. Considerando que a precipitação de chuva de 1 mm sobre uma área de 1 m^{2} produz 1 litro de água, pode-se calcular a área de um telhado a fim de atender a necessidade de armazenagem da seguinte maneira: área do telhado (em m^{2}) = volume da cisterna (em litros)/precipitação. Disponível em: www.cnpsa.embrapa.br. Acesso em: 8 jun. 2009 (adaptado). Para atender a uma demanda diária de 2.000 litros de água, com período de armazenagem de 15 dias e precipitação média de 110 mm, o telhado, retangular, deverá ter as dimensões mínimas de";$6 metros por 5 metros, pois assim teria uma área de 30 m^{2}$;$15 metros por 20 metros, pois assim teria uma área de 300 m^{2}$;$50 metros por 60 metros, pois assim teria uma área de 3.000 m^{2}$;$91 metros por 30 metros, pois assim teria uma área de 2.730 m^{2}$;$110 metros por 30 metros, pois assim teria uma área de 3.300 m^{2}$;0
2010;137;MT;70700;E;11;0;;1.96748;1.29609;0.10989;Azul;99;;;;REGULAR;ENEM_2010_PROVA_GAB_DIA_2_AZUL_7.pdf;No monte de Cerro Armazones, no deserto de Atacama, no Chile, ficará o maior telescópio da superfície terrestre, o Telescópio Europeu Extremamente Grande (E-ELT). O E-ELT terá um espelho primário de 42 m de diâmetro, “o maior olho do mundo voltado para o céu”. Disponível em: http://www.estadao.com.br. Acesso em: 27 abr. 2010 (adaptado). Ao ler esse texto em uma sala de aula, uma professora fez uma suposição de que o diâmetro do olho humano mede aproximadamente 2,1 cm. Qual a razão entre o diâmetro aproximado do olho humano, suposto pela professora, e o diâmetro do espelho primário do telescópio citado?;1 : 20;1 : 100;1 : 200;1 : 1 000;1 : 2 000;0
2010;144;MT;73385;C;15;0;;2.70301;1.35998;0.30383;Azul;99;;;;REGULAR;ENEM_2010_PROVA_GAB_DIA_2_AZUL_7.pdf;"A resistência elétrica e as dimensões do condutor A relação da resistência elétrica com as dimensões do condutor foi estudada por um grupo de cientistas por meio de vários experimentos de eletricidade. Eles verificaram que existe proporcionalidade entre: \bullet resistência (R) e comprimento (Ɛ), dada a mesma secção transversal (A); \bullet resistência (R) e área da secção transversal (A), dado o mesmo comprimento (Ɛ) e \bullet comprimento (Ɛ) e área da secção transversal (A), dada a mesma resistência (R). Considerando os resistores como fios, pode-se exemplificar o estudo das grandezas que influem na resistência elétrica utilizando as figuras seguintes. As figuras mostram que as proporcionalidades existentes entre resistência (R) e comprimento (Ɛ), resistência (R) e área da secção transversal (A), e entre comprimento (Ɛ) e área da secção transversal (A) são, respectivamente,";direta, direta e direta.;direta, direta e inversa.;direta, inversa e direta.;inversa, direta e direta.;inversa, direta e inversa.;0
